S,Khrunichev State Research and Production Space Center,Proton-K/DM-2M,2000-06-30,17,45.965,63.3,13,1000.1297,3,15.87677479,26.48631287,25.55999947,610
S,Khrunichev State Research and Production Space Center,Proton,2000-07-04,18,45.965,63.3,14.60000038,997.0007324,17,11.113451,20.1246109,15.84000015,265
S,Khrunichev State Research and Production Space Center,Proton,2000-07-11,23,45.965,63.3,15.5,990.7745361,0,15.40867138,25.96994972,21.59999847,310
S,Lockheed Martin,Atlas IIAS,2000-07-14,0,28.396837,-80.605659,24.41100121,1013.507568,69,12.81923485,17.05731392,20.51999855,375
S,Production Corporation Polyot,Kosmos-3M,2000-07-15,7,62.9,40.57,18.60449982,1000.882385,29,14.8431797,21.75841904,37.07999802,885
S,United States Air Force,Delta II,2000-07-16,4,28.396837,-80.605659,24.36100006,1010.209473,52,23.1130085,28.96154594,33.11999893,485
S,Russian Federal Space Agency (ROSCOSMOS),Soyuz-U-PVB,2000-07-16,7,45.965,63.3,6.949999809,998.7438354,0,31.57550621,37.86850739,51.83999634,1315
S,Orbital Sciences Corporation,Minotaur I,2000-07-19,15,34.7426,-120.5726,11.77149963,1002.905518,0,22.32290268,34.02523422,29.15999985,165
S,Sea Launch,Zenit,2000-07-28,17,0,154,23.35000038,1010.099976,7,4.51078701,4.51078701,13.31999969,355
S,Russian Federal Space Agency (ROSCOSMOS),Soyuz U,2000-08-06,13,45.965,63.3,10.14999962,994.3446655,10,23.00622559,27.09822083,35.27999878,2225
S,Russian Federal Space Agency (ROSCOSMOS),Soyuz-U-PVB,2000-08-09,6,45.965,63.3,4.099999905,1004.2099,0,23.51050758,27.18178749,39.23999786,1970
S,Arianespace,Ariane 44LP,2000-08-17,18,5.050333,-52.781667,23.57150078,1007.235229,0,10.30883121,14.8431797,40.31999969,1290
S,United States Air Force,Titan 403B,2000-08-17,18,34.7426,-120.5726,13.87150002,1002.334534,0,8.669948578,7.28944397,14.39999962,150
S,United States Air Force,Delta III,2000-08-23,6,28.396837,-80.605659,23.36100006,1019.803894,28,30.05514908,33.71337891,37.79999924,845
S,Khrunichev State Research and Production Space Center,Proton,2000-08-28,15,45.965,63.3,10.89999962,988.1308594,0,21.1880722,32.65499496,50.39999771,395
S,China Aerospace Science and Technology Corporation,Long March 4B,2000-08-31,22,38.0083,112.47,15.02399921,914.7368164,0,1.484318018,1.439999938,6.479999542,20
S,Khrunichev State Research and Production Space Center,Proton-K/DM-2M,2000-09-05,4,45.965,63.3,7.400000095,997.2564697,3,9.726664543,13.84947586,17.63999939,140
S,Arianespace,Ariane 44P,2000-09-06,17,5.050333,-52.781667,20.12150002,1006.469421,0,12.64620018,17.77175331,37.79999924,1800
S,United Space Alliance,Space Shuttle,2000-09-08,7,28.573469,-80.65107,23.25650024,1014.467712,89,7.100309849,9.585739136,12.23999977,220
S,Arianespace,Ariane 5 G,2000-09-14,17,5.050333,-52.781667,21.17150116,1007.353333,0,10.10568142,14.40449905,32.0399971,1130
S,United States Air Force,Titan II SLV,2000-09-21,5,34.7426,-120.5726,14.62150002,994.4680786,0,9.726664543,12.68201828,9.720000267,225
S,Russian Federal Space Agency (ROSCOSMOS),Zenit-2,2000-09-25,5,45.965,63.3,-3.200000048,1006.602112,0,27.90870857,33.67299271,45.36000061,1350
S,ISC Kosmotras,Dnepr,2000-09-26,5,45.965,63.3,-4.599999905,1016.791565,0,8.654986382,9.793058395,18,405
S,Russian Federal Space Agency (ROSCOSMOS),Soyuz-U-PVB,2000-09-29,4,45.965,63.3,-3.400000095,1012.369446,0,16.05535507,20.11172867,24.11999893,350
S,Khrunichev State Research and Production Space Center,Proton-K/DM-2M,2000-10-01,17,45.965,63.3,-0.150000006,1007.766296,0,6.119999886,11.16580486,11.15999889,35
S,Arianespace,Ariane 42L,2000-10-06,18,5.050333,-52.781667,22.82150078,1004.944641,24,11.77040291,17.8771801,29.51999855,815
S,Orbital Sciences Corporation,Pegasus Hybrid,2000-10-09,0,9,166,24.29999924,1008.900024,83,19.58611679,21.41319084,24.11999893,600
S,Lockheed Space Operations Company,Space Shuttle,2000-10-11,18,28.573469,-80.65107,14.30650043,1022.063965,0,25.02971077,29.63829994,41.76000214,1255
S,Khrunichev State Research and Production Space Center,Proton,2000-10-13,9,45.965,63.3,-5.650000095,1008.782593,0,18.51114273,21.47966576,33.47999954,1100
S,Russian Federal Space Agency (ROSCOSMOS),Soyuz U,2000-10-16,16,45.965,63.3,-3.349999905,1019.036438,21,8.825508118,16.51690102,15.4800005,170
